train_loss,train_accuracy,epoch,step,test_loss,test_acc
0.6631392240524292,0.75,0,0,,
0.6556878089904785,0.84375,0,1,,
0.6522283554077148,0.8046875,0,2,,
0.63633131980896,0.90625,0,3,,
0.6369418501853943,0.8671875,0,4,,
0.6320042014122009,0.890625,0,5,,
0.6292975544929504,0.8359375,0,6,,
0.6263240575790405,0.859375,0,7,,
0.6121811270713806,0.859375,0,8,,
0.6105287671089172,0.8515625,0,9,,
0.6022070050239563,0.8671875,0,10,,
0.5861132740974426,0.875,0,11,,
0.562951922416687,0.90625,0,12,,
0.5665526986122131,0.890625,0,13,,
0.5427609086036682,0.90625,0,14,,
0.558502197265625,0.828125,0,15,,
0.5376236438751221,0.875,0,16,,
0.5377793312072754,0.8359375,0,17,,
0.4851241707801819,0.8984375,0,18,,
0.510684072971344,0.8359375,0,19,,
0.46347182989120483,0.8515625,0,20,,
0.41923975944519043,0.875,0,21,,
0.42174339294433594,0.8828125,0,22,,
0.38488876819610596,0.875,0,23,,
0.40071186423301697,0.8359375,0,24,,
0.35030069947242737,0.875,0,25,,
0.2996257543563843,0.890625,0,26,,
0.3810356557369232,0.84375,0,27,,
0.4028360843658447,0.8203125,0,28,,
0.34016212821006775,0.8671875,0,29,,
0.4197005331516266,0.828125,0,30,,
0.25848186016082764,0.90625,0,31,,
0.3509734869003296,0.8515625,0,32,,
0.28270289301872253,0.875,0,33,,
0.3770124912261963,0.8203125,0,34,,
0.3315422832965851,0.84375,0,35,,
0.2675960063934326,0.8828125,0,36,,
0.2707001864910126,0.875,1,37,,
0.22354742884635925,0.9140625,1,38,,
0.22388556599617004,0.90625,1,39,,
0.2680762708187103,0.8828125,1,40,,
0.29057416319847107,0.84375,1,41,,
0.31178218126296997,0.8125,1,42,,
0.2565862834453583,0.890625,1,43,,
0.20387358963489532,0.90625,1,44,,
0.2785092294216156,0.8515625,1,45,,
0.2635481655597687,0.8359375,1,46,,
0.3084276616573334,0.859375,1,47,,
0.3068732023239136,0.8515625,1,48,,
0.29655271768569946,0.84375,1,49,,
0.2818599045276642,0.828125,1,50,,
0.34640759229660034,0.859375,1,51,,
0.21549834311008453,0.875,1,52,,
0.24347272515296936,0.859375,1,53,,
0.22012674808502197,0.8828125,1,54,,
0.22943614423274994,0.890625,1,55,,
0.23312243819236755,0.875,1,56,,
0.2850446105003357,0.859375,1,57,,
0.2085307538509369,0.8984375,1,58,,
0.2487349659204483,0.8671875,1,59,,
0.20713764429092407,0.921875,1,60,,
0.30894315242767334,0.8359375,1,61,,
0.276432067155838,0.8125,1,62,,
0.19633297622203827,0.921875,1,63,,
0.30777406692504883,0.859375,1,64,,
